unix,open,high,low,close,Volume BTC,Volume USDT,gains,losses,gains ave,losses ave,rs,rsi,rsi ma,rsi ema
1.52E+12,10321,10870,10121,10569.04,30705.38512,324295371.1,245.04,0,3887.186585,3375.150747,1.151707546,53.52528267,47.45592246,44.95064638
1.52E+12,10584.33,11098,10300,10326.76,30800.98378,327914696.1,0,242.28,3609.530401,3376.348551,1.069063323,51.66895141,48.38278557,46.00014649
1.52E+12,10325.64,11060.41,10240,10920,25092.55393,268172535.4,593.24,0,3944.9468,3135.180797,1.25828367,55.7185834,49.43136209,47.01918967
1.52E+12,10923.36,11200,10770,11039,23910.71009,262936307,119,0,3782.164886,2911.239312,1.299159733,56.50584926,50.19077683,47.9737068
1.52E+12,11038.99,11544,11015.01,11464.48,21287.15328,241749497.9,425.48,0,3937.490251,2703.293646,1.456552919,59.29255208,51.1180929,48.99406551
1.52E+12,11464.47,11565,11050.02,11515,17295.91865,194849579.1,50.52,0,3706.760948,2510.201243,1.476678795,59.62334713,52.17108445,49.83176344
1.52E+12,11515,11710,11415.01,11454,15144.23106,174866951.4,0,61,3441.992309,2391.901154,1.439019461,58.99991713,52.89602918,50.73219406
1.52E+12,11455,11455,10555.48,10716.48,29515.57236,323842216.6,0,737.52,3196.135715,2958.571072,1.080297089,51.92994282,53.37736027,51.73941733
1.52E+12,10716.48,10899,9389.31,9910,50647.67108,514808033.5,0,806.48,2967.840307,3553.724567,0.835135152,45.50810065,53.25498167,52.54904562
1.52E+12,9910,10099,9060,9271.64,41109.47323,394641280.6,0,638.36,2755.851714,3938.247098,0.699766075,41.16837518,52.7642037,53.12886588
1.52E+12,9267.07,9410,8329,9227,64112.29141,567082901.1,0,44.64,2559.005163,3701.583734,0.691327104,40.87483151,52.21308022,53.21714693
1.52E+12,9230,9490,8667.07,8770.22,37180.01286,341210248.4,0,456.78,2376.21908,3893.964895,0.610231254,37.89711895,51.27958085,52.90008667
1.52E+12,8770.22,9740,8450,9533.57,44325.97339,403491260.9,763.35,0,2969.839145,3615.824546,0.821344926,45.09551785,50.90418727,52.41918215
1.52E+12,9533.57,9888.88,8780,9131.34,42230.77793,395562731.9,0,402.23,2757.707778,3759.781364,0.73347557,42.31242612,50.19394672,51.62146124
1.52E+12,9131.34,9474,8823,9150,40191.40936,367353984.7,18.66,0,2579.388651,3491.225552,0.738820398,42.48974757,49.47986528,51.11936946
1.52E+12,9151.92,9333.78,7900.28,8170,49708.09411,426058009.8,0,980,2395.146604,4221.852298,0.567321269,36.19687172,48.72247559,50.47157354
1.52E+12,8184.01,8430,7650,8240.98,52291.02228,422130717.5,70.98,0,2295.044704,3920.29142,0.585427066,36.92551228,48.18945236,49.77737776
