unix,open,high,low,Volume ETH,Volume USDT,close,gains,losses,gains ave,losses ave,rs,rsi
1.52E+12,851.59,875,805,89311.5794,75082869.27,833.94,0,17.66,309.7524847,381.1283825,0.81272479,44.83442796
1.52E+12,833.92,849.5,813.18,59431.26474,49520472.19,841.19,7.25,0,294.8773072,353.9049266,0.833210518,45.4508912
1.52E+12,841.46,882,833,74911.4656,64498089.2,867.98,26.79,0,300.6046424,328.6260033,0.91473176,47.77336331
1.52E+12,867.98,897.49,860.69,63487.68425,55793476.98,870.11,2.13,0,281.2628822,305.1527173,0.921711872,47.96306279
1.52E+12,871.84,891,850.3,53620.45209,46744924.42,853.5,0,16.61,261.1726764,299.9660947,0.870673989,46.54333114
1.52E+12,853.5,879.96,848.65,43785.00503,37976139.75,870.63,17.13,0,259.6474852,278.5399451,0.932173248,48.24480666
1.52E+12,870.63,876.22,850,39436.26006,34068626.38,856.28,0,14.35,241.1012362,272.9942347,0.883173363,46.89814439
1.52E+12,856.27,870.78,852.3,34170.2942,29487108.37,856.02,0,0.26,223.8797194,253.7546465,0.882268453,46.87261541
1.52E+12,856.51,868,836.24,29735.01829,25364732.86,866.66,10.64,0,218.5283108,235.6293146,0.927424125,48.11728321
1.52E+12,866.61,871.75,847.2,30567.79813,26391332.15,849.84,0,16.82,202.9191458,235.6186493,0.861218526,46.27175766
1.52E+12,849.81,853.18,803.01,48658.06883,40340972.83,813.11,0,36.73,188.4249211,255.5187458,0.737421126,42.44343036
1.52E+12,813.31,826.2,718.4,109013.2838,83030975.9,749.9,0,63.21,174.9659982,300.4774068,0.582293358,36.80059421
1.52E+12,749.02,772.07,684,76312.77819,55751521.78,695.46,0,54.44,162.4684269,333.4547349,0.48722783,32.76080639
1.52E+12,695.48,727.92,640,116545.373,79262060.75,723.71,28.25,0,179.1135392,309.6365395,0.578463832,36.64726555
1.52E+12,723.65,745,673.06,63012.67972,45345997.5,680.58,0,43.13,166.319715,330.6496438,0.503008904,33.46679469
1.52E+12,680.58,735,659.15,73967.35869,51773437.87,720.85,40.27,0,194.7097354,307.0318121,0.634167952,38.80677937
1.52E+12,721,740.5,676.31,67732.85988,48042091.35,697.11,0,23.74,180.8018971,308.8409684,0.585420704,36.92525917
1.52E+12,696.52,713.76,680,55735.18315,38651705.85,689.94,0,7.17,167.8874759,293.9508992,0.571141222,36.35199778
1.52E+12,690.16,703.54,585,89904.25415,57785217.49,610.1,0,79.84,155.8955133,352.7944064,0.441887713,30.6464719
1.52E+12,610.1,621.12,570,94426.72453,56487242.01,608.83,0,1.27,144.7601195,328.864806,0.440181244,30.56429502
