unix,open,high,low,close,Volume ETH,Volume USDT
1.57931E+12,169.92,179.5,164.92,174.14,688783.1798,119388338.8
1.57922E+12,164.24,174.81,162.14,169.85,767180.6785,129909265.3
1.57913E+12,166.4,167.4,157.8,164.21,456170.8672,74038650.83
1.57905E+12,165.6,171.98,159.2,166.4,721687.8038,119239937.9
1.57896E+12,143.58,171.7,143.51,165.64,1108476.312,173492006.2
1.57887E+12,146.56,147,142.27,143.58,207996.6187,29888095.37
1.57879E+12,142.4,146.6,141.76,146.54,229541.8614,33112850.82
1.5787E+12,144.83,148.05,142.09,142.38,368350.5794,53149360.56
1.57861E+12,137.73,145.17,135.32,144.84,409403.5951,57377525.56
1.57853E+12,140.76,141.5,135.3,137.74,366076.0657,50611452.58
1.57844E+12,142.8,147.77,137.03,140.72,570465.5776,81184999.73
1.57836E+12,144.14,145.31,138.76,142.8,447762.1728,63861666.4
1.57827E+12,135.37,144.41,134.86,144.15,408020.2738,57400544.49
1.57818E+12,134.2,138.19,134.19,135.37,254120.4534,34593687.6
1.5781E+12,134.37,135.85,132.5,134.2,184276.171,24641135.57
1.57801E+12,127.19,135.14,125.88,134.35,413055.189,54139288.22
1.57792E+12,130.72,130.78,126.38,127.19,213757.0581,27486853.39
1.57784E+12,129.16,133.05,128.68,130.77,144770.522,18952318.53
1.57775E+12,131.61,133.68,128.17,129.16,264933.9842,34678632.18
1.57766E+12,134.36,136.24,130.3,131.59,320347.2196,42636559.38
1.57758E+12,128.11,138.07,127.52,134.36,316347.2667,41893078.36
1.57749E+12,126.28,129.68,125.84,128.11,196893.5228,25177121.15
1.5774E+12,125.58,127.1,121.91,126.29,240012.3745,30020098.89
1.57732E+12,125.09,132.26,124.32,125.58,274986.521,34943780.91
1.57723E+12,127.7,127.84,123.07,125.09,225004.4909,28144469.16
1.57715E+12,127.8,129.69,126.61,127.75,200637.101,25667665.14
1.57706E+12,132.12,135.1,126,127.8,421600.7566,55501305.92
1.57697E+12,127,133.07,126.82,132.09,253140.7241,32938501.02
1.57689E+12,128.19,128.4,126.5,126.99,135196.1164,17199278.79
1.5768E+12,128.1,129.39,125.84,128.19,213897.4673,27266605.48
1.57671E+12,132.8,134,125.69,128.1,420674.8172,53766864.19
1.57663E+12,121.88,134.87,116.26,132.78,884960.9133,110566290.6
1.57654E+12,132.72,132.98,119.11,121.88,563257.36,71709329.27
1.57645E+12,142.46,142.72,127.93,132.73,471018.8594,63632055.58
