unix,open,high,low,close,Volume LTC,Volume USDT
1546820000000,38.29,39.04,36.53,37.35,444975.9243,16797767.66
1546730000000,34.33,39.71,33.89,38.3,761396.1068,28298586.9
1546650000000,31.76,35.95,31.76,34.33,335581.5585,11471296.97
1546560000000,31.41,32.53,30.78,31.76,108636.8219,3437486.385
1546470000000,32.68,32.8,30.62,31.39,94129.85114,2982980.225
1546390000000,31.47,33.29,31.07,32.67,118306.2332,3805773.12
1546300000000,29.92,31.8,29.56,31.48,103182.7377,3162741.447
1546210000000,31.38,31.43,29.42,29.9,97446.11241,2959940.344
1546130000000,30.28,32,29.68,31.38,151572.9305,4696122.032
1546040000000,31.78,32.81,29.91,30.28,222196.857,6994333.208
1545960000000,27.55,33.08,27.39,31.8,242123.8975,7428412.822
1545870000000,30.27,30.89,27.17,27.55,157817.2261,4528463.301
1545780000000,30.5,31.68,28.79,30.3,174048.0414,5242464.483
1545700000000,32.69,32.93,29.19,30.5,248993.5556,7586691.277
1545610000000,32.98,36.12,32.17,32.68,305504.745,10561724.77
1545520000000,31.29,33.84,31.09,32.97,255561.7289,8317118.225
1545440000000,30.29,31.49,29.7,31.33,106033.3358,3234572.769
1545350000000,32.18,32.87,29.55,30.29,222927.6635,6941800.34
1545260000000,28.83,32.76,28.52,32.18,347428.5019,10702281.66
1545180000000,29.89,31.55,28.51,28.83,464104.8813,13967868.69
1545090000000,28.97,30.15,27.39,29.89,241540.2199,6940548.103
1545000000000,25.51,30.3,25.43,28.95,415677.5501,11734862.36
